time,flow,velocity,pressure,voltage
2022-09-30 23:59:55,0,0,1.299,12.9
2022-09-30 23:58:54,0,0,1.308,12.9
2022-09-30 23:57:53,0,0,1.308,12.9
2022-09-30 23:56:52,0,0,1.3,12.9
2022-09-30 23:55:51,0,0,1.308,12.9
2022-09-30 23:54:50,0,0,1.308,12.9
2022-09-30 23:53:49,0,0,1.307,12.9
2022-09-30 23:52:48,0,0,1.307,12.9
2022-09-30 23:51:47,0,0,1.307,12.9
2022-09-30 23:50:46,0,0,1.3,12.9
2022-09-30 23:49:45,0,0,1.3,12.9
2022-09-30 23:48:44,0,0,1.307,12.9
2022-09-30 23:47:43,0,0,1.308,12.9
2022-09-30 23:46:42,0,0,1.292,12.9
2022-09-30 23:45:41,0,0,1.308,12.9
2022-09-30 23:44:40,0,0,1.292,12.9
2022-09-30 23:43:39,0,0,1.292,12.9
2022-09-30 23:42:38,0,0,1.292,12.9
2022-09-30 23:41:37,0,0,1.3,12.9
2022-09-30 23:40:36,0,0,1.292,12.9
2022-09-30 23:39:35,0,0,1.308,12.9
2022-09-30 23:38:34,0,0,1.3,12.9
2022-09-30 23:37:33,0,0,1.3,12.9
2022-09-30 23:36:32,0,0,1.293,12.9
2022-09-30 23:35:31,0,0,1.292,12.9
2022-09-30 23:34:30,0,0,1.292,12.9
2022-09-30 23:33:29,0,0,1.301,12.9
2022-09-30 23:32:28,0,0,1.293,12.9
2022-09-30 23:31:27,0,0,1.285,12.9
2022-09-30 23:30:26,0,0,1.3,12.9
2022-09-30 23:29:25,0,0,1.293,12.9
2022-09-30 23:28:24,0,0,1.285,12.9
2022-09-30 23:27:23,0,0,1.285,12.9
2022-09-30 23:26:22,0,0,1.293,12.9
2022-09-30 23:25:21,0,0,1.293,12.9
2022-09-30 23:24:20,0,0,1.286,12.9
2022-09-30 23:23:19,0,0,1.293,12.9
2022-09-30 23:22:18,0,0,1.293,12.9
2022-09-30 23:21:17,0,0,1.293,12.9
2022-09-30 23:20:16,0,0,1.285,12.9
2022-09-30 23:19:15,0,0,1.293,12.9
2022-09-30 23:18:14,0,0,1.293,12.9
2022-09-30 23:17:13,0,0,1.293,12.9
2022-09-30 23:16:12,0,0,1.286,12.9
2022-09-30 23:15:11,0,0,1.293,12.9
2022-09-30 23:14:10,0,0,1.317,12.9
2022-09-30 23:13:09,0,0,1.309,12.9
2022-09-30 23:12:08,0,0,1.287,12.9
2022-09-30 23:11:07,0,0,1.333,12.9
2022-09-30 23:10:06,0,0,1.333,12.9
2022-09-30 23:09:05,0,0,1.341,12.9
2022-09-30 23:08:04,0,0,1.341,12.9
2022-09-30 23:07:03,0,0,1.341,12.9
2022-09-30 23:06:02,0,0,1.325,12.9
2022-09-30 23:05:01,0,0,1.325,12.9
2022-09-30 23:04:00,0,0,1.325,12.9
2022-09-30 23:02:59,0,0,1.334,12.9
2022-09-30 23:01:58,0,0,1.326,12.9
2022-09-30 23:00:57,0,0,1.325,12.9
2022-09-30 22:59:56,0,0,1.341,12.9
2022-09-30 22:58:55,0,0,1.325,12.9
2022-09-30 22:57:54,0,0,1.334,12.9
2022-09-30 22:56:53,0,0,1.334,12.9
2022-09-30 22:55:52,0,0,1.334,12.9
2022-09-30 22:54:51,0,0,1.342,12.9
2022-09-30 22:53:50,0,0,1.342,12.9
2022-09-30 22:52:49,0,0,1.342,12.9
2022-09-30 22:51:48,0,0,1.342,12.9
2022-09-30 22:50:47,0,0,1.342,12.9
2022-09-30 22:49:46,0,0,1.334,12.9
2022-09-30 22:48:45,0,0,1.342,12.9
2022-09-30 22:47:44,0,0,1.342,12.9
2022-09-30 22:46:43,0,0,1.334,12.9
2022-09-30 22:45:42,0,0,1.335,12.9
2022-09-30 22:44:41,0,0,1.334,12.9
2022-09-30 22:43:40,0,0,1.334,12.9
2022-09-30 22:42:39,0,0,1.335,12.9
2022-09-30 22:41:38,0,0,1.334,12.9
2022-09-30 22:40:37,0,0,1.326,12.9
2022-09-30 22:39:36,0,0,1.327,12.9
2022-09-30 22:38:35,0,0,1.334,12.9
2022-09-30 22:37:34,0,0,1.327,12.9
2022-09-30 22:36:33,0,0,1.327,12.9
2022-09-30 22:35:32,0,0,1.335,12.9
2022-09-30 22:34:31,0,0,1.334,12.9
2022-09-30 22:33:30,0,0,1.327,12.9
2022-09-30 22:32:29,0,0,1.342,12.9
2022-09-30 22:31:28,0,0,1.327,12.9
2022-09-30 22:30:27,0,0,1.327,12.9
2022-09-30 22:29:26,0,0,1.335,12.9
2022-09-30 22:28:25,0,0,1.343,12.9
2022-09-30 22:27:25,0,0,1.343,12.9
2022-09-30 22:26:23,0,0,1.342,12.9
2022-09-30 22:25:22,0,0,1.335,12.9
2022-09-30 22:24:21,0,0,1.351,12.9
2022-09-30 22:23:20,0,0,1.335,12.9
2022-09-30 22:22:19,0,0,1.343,12.9
2022-09-30 22:21:18,0,0,1.351,12.9
2022-09-30 22:20:17,0,0,1.343,12.9
2022-09-30 22:19:16,0,0,1.327,12.9
2022-09-30 22:18:15,0,0,1.336,12.9
2022-09-30 22:17:14,0,0,1.343,12.9
2022-09-30 22:16:13,0,0,1.328,12.9
2022-09-30 22:15:12,0,0,1.344,13
2022-09-30 22:14:11,0,0,1.336,12.9
2022-09-30 22:13:10,0,0,1.336,12.9
2022-09-30 22:12:09,0,0,1.336,12.9
2022-09-30 22:11:08,0,0,1.328,13
2022-09-30 22:10:07,0,0,1.328,13
2022-09-30 22:09:06,0,0,1.328,13
2022-09-30 22:08:05,0,0,1.336,13
2022-09-30 22:07:04,0,0,1.336,13
2022-09-30 22:06:03,0,0,1.336,13
2022-09-30 22:05:02,0,0,1.336,13
2022-09-30 22:04:01,0,0,1.336,12.9
2022-09-30 22:03:00,0,0,1.336,13
2022-09-30 22:01:59,0,0,1.336,13
2022-09-30 22:00:58,0,0,1.329,13
2022-09-30 21:59:57,0,0,1.351,12.9
2022-09-30 21:58:56,0,0,1.329,13
2022-09-30 21:57:55,0,0,1.321,13
2022-09-30 21:56:54,0,0,1.336,13
2022-09-30 21:55:53,0,0,1.329,13
2022-09-30 21:54:52,0,0,1.336,13
2022-09-30 21:53:52,0,0,1.336,13
2022-09-30 21:52:50,0,0,1.322,13
2022-09-30 21:51:49,0,0,1.329,13
2022-09-30 21:50:48,0,0,1.336,12.9
2022-09-30 21:49:47,0,0,1.329,13
2022-09-30 21:48:46,1.609,0.034,1.321,13
2022-09-30 21:47:45,1.836,0.039,1.322,13
2022-09-30 21:46:44,1.836,0.039,1.306,13
2022-09-30 21:45:43,1.797,0.038,1.322,13
2022-09-30 21:44:42,0,0,1.329,13
2022-09-30 21:43:41,0,0,1.329,13
2022-09-30 21:42:40,0,0,1.33,13
2022-09-30 21:41:39,0,0,1.313,12.9
2022-09-30 21:40:38,0,0,1.329,13
2022-09-30 21:39:37,0,0,1.306,13
2022-09-30 21:38:36,0,0,1.313,13
2022-09-30 21:37:35,0,0,1.322,13
2022-09-30 21:36:34,0,0,1.322,13
2022-09-30 21:35:33,0,0,1.322,13
2022-09-30 21:34:32,0,0,1.33,13
2022-09-30 21:33:31,0,0,1.33,13
2022-09-30 21:32:30,0,0,1.322,13
2022-09-30 21:31:29,0,0,1.322,13
2022-09-30 21:30:28,0,0,1.314,13
2022-09-30 21:29:27,0,0,1.322,13
2022-09-30 21:28:26,0,0,1.314,13
2022-09-30 21:27:25,0,0,1.322,13
2022-09-30 21:26:24,0,0,1.338,13
2022-09-30 21:25:23,0,0,1.307,13
2022-09-30 21:24:22,0,0,1.315,13
2022-09-30 21:23:21,0,0,1.322,13
2022-09-30 21:22:20,0,0,1.322,13
2022-09-30 21:21:19,0,0,1.315,13
2022-09-30 21:20:18,0,0,1.314,13
2022-09-30 21:19:17,0,0,1.307,13
2022-09-30 21:18:16,0,0,1.307,13
2022-09-30 21:17:15,0,0,1.323,13
2022-09-30 21:16:14,0,0,1.331,13
2022-09-30 21:15:13,0,0,1.307,13
2022-09-30 21:14:12,0,0,1.315,13
2022-09-30 21:13:11,0,0,1.316,13
2022-09-30 21:12:10,0,0,1.331,13
2022-09-30 21:11:09,0,0,1.276,13
2022-09-30 21:10:08,0,0,1.269,13
2022-09-30 21:09:07,0,0,1.323,13
2022-09-30 21:08:06,0,0,1.332,13
2022-09-30 21:07:05,0,0,1.324,13
2022-09-30 21:06:04,0,0,1.316,13
2022-09-30 21:05:03,0,0,1.324,13
2022-09-30 21:04:02,0,0,1.324,13
2022-09-30 21:03:01,0,0,1.331,13
2022-09-30 21:02:00,1.844,0.039,1.324,13
2022-09-30 21:00:59,2.141,0.045,1.324,13
2022-09-30 20:59:58,1.562,0.033,1.332,13
2022-09-30 20:58:57,0,0,1.316,13
2022-09-30 20:57:56,0,0,1.324,13
