hour,Averagewaterconsumption
0:00 - 1:00,1.05643791005291
1:00 - 2:00,0.0
2:00 - 3:00,0.0
3:00 - 4:00,0.0
4:00 - 5:00,0.0
5:00 - 6:00,0.0
6:00 - 7:00,0.0
7:00 - 8:00,197.76369778021046
8:00 - 9:00,333.4367612090251
9:00 - 10:00,344.12913786661437
10:00 - 11:00,303.71030433547503
11:00 - 12:00,288.40146704814157
12:00 - 13:00,307.29732741720557
13:00 - 14:00,279.24029068405133
14:00 - 15:00,270.9512686929957
15:00 - 16:00,160.65626699420508
16:00 - 17:00,212.40402235827665
17:00 - 18:00,260.16388597092987
18:00 - 19:00,273.52504418518515
19:00 - 20:00,271.67938071546143
20:00 - 21:00,284.14006263727225
21:00 - 22:00,249.08927554925677
22:00 - 23:00,207.83549398022177
23:00 - 24:00,117.37440783528872
